stat_id,mean_summer_prec,mean_fall_prec,mean_annual_prec,mean_wet_days,mean_summer_temp,mean_winter_temp,latitude,longitude,utm_east_z33,utm_north_z33,station_name,drainage_basin_key,regine_area,gradient_1085,gradient_basin,gradient_river,length_km_basin,length_km_river,perc_agricul,perc_bog,perc_eff_bog,perc_eff_lake,perc_lake,perc_glacier,perc_forest,perc_mountain,perc_urban,area_total,area_norway,height_minimum,height_maximum,height_hypso_10,height_hypso_20,height_hypso_30,height_hypso_40,height_hypso_50,height_hypso_60,height_hypso_70,height_hypso_80,height_hypso_90,specific_runoff,annual_runoff
101.1.0,412.680606060606,609.56696969697,5.75012696041822,0.513483903455974,13.0787450592885,0.775806451612903,62.53123,6.61772,69510,6961373,Engsetvatn,1530,101.6A,20.41,24.75,49.18,11.37,12.13,5.53,1.85,,10.98,11.14,0,60.41,11.22,0.05,39.91,39.91,45,741,46,64,92,122,159,208,278,361,443,54.92,69.17
102.1.0,367.23,582.962424242424,5.32230105385445,0.500937454175917,12.3541600790514,-0.35505376344086,62.60018,6.34442,56566,6970861,Hildreelv,2284,102.11Z,34.31,,29.93,6.03,7.15,0.84,0.91,,1.99,6.18,0,25.82,29.33,0,14.25,14.25,38,785,154,218,251,285,317,362,415,500,618,46.79,21.04
103.20.0,436.782727272727,545.70696969697,5.77884324952286,0.418768180438615,9.3488208168643,-6.57254704301075,62.58323,7.95407,138554,6958919,Isa v/Morstøl bru,1544,103.4B,83.04,60.23,99.36,9.83,12.42,0.38,0.38,,0.24,2,5.25,18.18,72.75,0,44.4,44.4,110,1724,330,574,742,851,912,1001,1114,1229,1348,68.69,95.96
104.22.0,343.353333333333,450.65696969697,4.69611484524106,0.392034538144393,8.39796772068511,-7.72282594086022,62.5095,8.07138,143673,6950087,Midtre Mardalsvatn,1559,104.B3D,52.05,32.16,49.36,5.92,6.58,0,0,,3.96,7.34,0,0,80.7,0,13.681,13.681,880,1575,914,932,980,1053,1132,1188,1233,1278,1352,56.96,24.59
104.23.0,378.265151515152,462.944242424242,4.8959737781097,0.431302125782775,10.4847101449275,-5.0203561827957,62.69773,7.96078,140290,6971583,Vistdal,1560,104.2B,58.78,44.64,64.76,11.43,14.47,2.06,4.12,,0.16,2.27,0,31.93,55.23,0,66.51,66.51,46,1516,254,454,575,655,737,792,860,946,1070,58.55,122.88
109.21.0,214.031212121212,149.654848484849,1.83762426354659,0.30328864881332,7.49298089591568,-9.27192204301075,62.25589,9.54368,216855,6914632,Driva v/Svoni,1577,109.H0,35.15,,34.28,16.72,18.55,0,2.51,,0.03,1.03,0.96,0.48,87.52,0.04,135.96,135.96,989,2281,1073,1118,1173,1224,1263,1309,1383,1459,1542,17.07,73.23
109.9.0,239.87303030303,165.095757575758,2.11883080242304,0.317068895550077,7.23642951251647,-9.58408266129032,62.51138,9.59264,221773,6942810,Driva v/Risefoss,1573,109.F3,15.14,21.72,20.22,37.32,53.11,0.19,1.22,,0.03,1.87,0.9,6.79,83.98,0.1,745.99,745.99,556,2283,1026,1141,1230,1290,1347,1400,1462,1529,1617,19.4,455.69
111.10.0,442.505757575758,505.952121212121,5.47734461870384,0.441257304856188,9.34360671936759,-6.66998991935484,62.78271,8.89333,188729,6976151,Nauståa,1594,111.B0,54.37,41.44,80.21,8.12,9.44,0,0.89,,0.32,2.94,0,5.32,85.11,0,24.79,24.79,217,1373,615,754,840,907,943,988,1043,1113,1216,70.83,55.41
111.9.0,472.073636363636,553.525454545455,5.89621442203967,0.46475174571996,11.3269894598155,-3.96630712365591,62.90028,8.6049,175363,6990631,Søya v/Melhus,1593,111.7A0,27.88,39.25,40.54,18.1,24.2,3.05,6.09,,0.02,0.93,0,35.89,37.15,0,137.43,137.43,28,1421,147,289,409,509,577,632,701,787,910,61.07,264.86
112.8.0,355.645757575758,352.103636363636,4.03010455563854,0.416768005383513,9.76445322793149,-6.20003696236559,62.98495,9.4071,216824,6996240,Rinna,1602,112.CB6,22.69,23.14,23.25,14.46,17.98,0,6.83,,0.57,2.28,0,15.94,62.62,0,87.83,87.83,453,1587,594,657,722,776,810,864,934,1037,1164,41.2,114.27
