stat_id,date,utm_x,utm_y,lon,lat,area,month,year,day,min,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,max
19.96.0,2023-11-15,136291,6563180,8.65362,59.05231,0.584,11,2023,15,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396,0.6396
19.96.0,2023-11-16,136291,6563180,8.65362,59.05231,0.584,11,2023,16,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097,0.5097
19.96.0,2023-11-17,136291,6563180,8.65362,59.05231,0.584,11,2023,17,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062,0.4062
19.96.0,2023-11-18,136291,6563180,8.65362,59.05231,0.584,11,2023,18,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237,0.3237
19.96.0,2023-11-19,136291,6563180,8.65362,59.05231,0.584,11,2023,19,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.39105,0.4326,0.50435,1.5097
19.96.0,2023-11-20,136291,6563180,8.65362,59.05231,0.584,11,2023,20,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055,0.2055,0.23,0.28675,0.3501,0.3501,0.3501,0.4056,0.4611,0.5025499999999999,1.2624,1.8739499999999998,2.2314
19.96.0,2023-11-21,136291,6563180,8.65362,59.05231,0.584,11,2023,21,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.1638,0.28259999999999996,0.2834,0.2834,0.2834,0.34395,0.3898,0.42275,1.0555,1.524,1.9021
19.96.0,2023-11-22,136291,6563180,8.65362,59.05231,0.584,11,2023,22,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.1305,0.2023,0.2294,0.2294,0.2294,0.25865,0.3224,0.34215,0.8826,1.2501,1.56
19.96.0,2023-11-23,136291,6563180,8.65362,59.05231,0.584,11,2023,23,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.15339999999999998,0.1856,0.1856,0.2032,0.2295,0.2696,0.5841500000000001,0.9116,1.33195,1.8342,2.8011,2.9547
19.96.0,2023-11-24,136291,6563180,8.65362,59.05231,0.584,11,2023,24,0.0829,0.0829,0.0829,0.0829,0.0829,0.0829,0.0949,0.1502,0.1502,0.216,0.2254,0.39515,0.5976,1.0747,1.8793,2.1925,2.4394,2.997,3.8567,4.58425,7.6292
19.96.0,2023-11-25,136291,6563180,8.65362,59.05231,0.584,11,2023,25,0.0661,0.0661,0.0661,0.0661,0.0661,0.1216,0.1216,0.14445,0.1818,0.22525,0.2897,0.6525,1.3301,1.71775,2.1771,3.1112,3.4401,3.8749,4.5142,5.88385,7.1973
19.96.0,2023-11-26,136291,6563180,8.65362,59.05231,0.584,11,2023,26,0.0526,0.0526,0.0526,0.0526,0.0933,0.0984,0.0984,0.11915,0.1472,0.18485000000000001,0.2345,0.5415,1.0772,1.5027,2.4619,2.99885,3.332,4.0969,4.5638,4.7954,9.4557
19.96.0,2023-11-27,136291,6563180,8.65362,59.05231,0.584,11,2023,27,0.0419,0.0419,0.0419,0.0419,0.0614,0.0797,0.0797,0.12545,0.1318,0.19535,0.698,0.9458,1.2283,1.8390499999999999,2.0474,2.3008499999999996,2.7861,2.92225,3.2014,4.0164,6.4607
19.96.0,2023-11-28,136291,6563180,8.65362,59.05231,0.584,11,2023,28,0.0334,0.0334,0.0334,0.0334,0.0404,0.06,0.0645,0.0991,0.1536,0.4386,0.6727,1.0175,1.712,1.8169,1.9945,2.1242,2.2532,2.3173500000000002,2.502,3.2272,5.9982
19.96.0,2023-11-29,136291,6563180,8.65362,59.05231,0.584,11,2023,29,0.0266,0.0266,0.0266,0.02665,0.0522,0.0921,0.0921,0.21765,0.3416,0.45130000000000003,0.6297,1.0503,1.3884,1.85595,1.9497,2.2198,2.2797,2.8438499999999998,3.3966,4.6854,7.7293
19.96.0,2023-11-30,136291,6563180,8.65362,59.05231,0.584,11,2023,30,0.0212,0.0212,0.0212,0.03205,0.0736,0.09459999999999999,0.2683,0.36819999999999997,0.4185,0.51115,0.9966,1.1728999999999998,1.3746,1.6170499999999999,1.8521,2.6028000000000002,2.9598,3.69335,3.9435,5.80035,8.2471
19.96.0,2023-12-01,136291,6563180,8.65362,59.05231,0.584,12,2023,1,0.0169,0.0169,0.0169,0.0681,0.0764,0.2322,0.3143,0.3446,0.4432,0.78645,1.023,1.0405,1.4181,1.6482,1.9779,2.6108000000000002,3.5532,4.0082,4.399,6.9780999999999995,7.6179
19.96.0,2023-12-02,136291,6563180,8.65362,59.05231,0.584,12,2023,2,0.0135,0.0135,0.0135,0.0599,0.1368,0.19845000000000002,0.2391,0.47035,0.6715,0.765,0.9807,1.43555,1.7852,2.21055,2.3973,2.9774,3.4975,4.53875,6.5461,7.31995,9.9659
19.96.0,2023-12-03,136291,6563180,8.65362,59.05231,0.584,12,2023,3,0.0116,0.0116,0.0116,0.048549999999999996,0.1107,0.2676,0.4239,0.50935,0.5503,0.9499500000000001,1.4226,1.6397499999999998,1.7927,1.83475,2.0045,2.32785,4.3082,4.86345,5.7375,8.1795,17.8548
19.96.0,2023-12-04,136291,6563180,8.65362,59.05231,0.584,12,2023,4,0.0112,0.0112,0.0112,0.03925,0.1982,0.2422,0.3627,0.44325000000000003,0.5628,1.0645,1.1337,1.3278,1.4615,1.4881,1.7722,2.14745,2.8111,4.12195,5.404,9.67755,12.295
19.96.0,2023-12-05,136291,6563180,8.65362,59.05231,0.584,12,2023,5,0.0109,0.0109,0.0174,0.09705,0.1663,0.24185,0.3398,0.49265000000000003,0.7602,0.86905,0.8883,0.9951,1.1957,1.89925,2.1038,2.69345,3.0783,3.8354999999999997,5.0595,6.6454,9.6383
19.96.0,2023-12-06,136291,6563180,8.65362,59.05231,0.584,12,2023,6,0.0106,0.01965,0.1299,0.14425,0.2376,0.54555,0.6154,0.68275,0.7679,1.20715,1.5687,1.8449,2.1683,2.3912,2.8025,2.9348,3.7672,3.9667,5.4135,9.73425,11.7243
19.96.0,2023-12-07,136291,6563180,8.65362,59.05231,0.584,12,2023,7,0.0102,0.050850000000000006,0.1051,0.11674999999999999,0.1923,0.44179999999999997,0.5556,0.6289,0.9161,1.2604000000000002,1.6924,1.8316,1.8877,2.24865,2.425,3.12175,3.5695,4.3767,4.9452,7.06025,10.3681
19.96.0,2023-12-08,136291,6563180,8.65362,59.05231,0.584,12,2023,8,0.0099,0.051449999999999996,0.0882,0.12819999999999998,0.2988,0.41715,0.4572,0.5184,0.7299,0.9396500000000001,1.3497,1.41795,1.5043,1.96035,2.6553,3.2035,3.311,3.7826500000000003,4.5764,6.3614999999999995,17.3273
19.96.0,2023-12-09,136291,6563180,8.65362,59.05231,0.584,12,2023,9,0.0096,0.0429,0.0714,0.1038,0.3107,0.403,0.5815,0.7027,0.8131,1.1195,1.1982,1.4183,1.7496,2.0676,2.612,2.90305,3.6562,3.7687999999999997,4.0763,6.689,14.1127
19.96.0,2023-12-10,136291,6563180,8.65362,59.05231,0.584,12,2023,10,0.0093,0.0351,0.0578,0.0993,0.1924,0.3318,0.4633,0.5640499999999999,0.7875,0.92805,0.9553,1.3747,1.6824,1.94225,2.184,2.4989999999999997,3.1013,3.5634,7.2551,8.22905,8.9319
19.96.0,2023-12-11,136291,6563180,8.65362,59.05231,0.584,12,2023,11,0.009,0.0293,0.0535,0.10755,0.2598,0.32545,0.4778,0.52835,0.7279,0.94285,1.2541,1.31845,1.5727,1.907,2.2434,2.3245,2.5004,2.8159,4.9823,7.97185,11.6334
