stat_id,date,utm_x,utm_y,lon,lat,area,month,year,day,min,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,max
aarvik,2023-11-15,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,15,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751,0.4751
aarvik,2023-11-16,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,16,0.2901,0.33955,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.67025,1.1765
aarvik,2023-11-17,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,17,0.1422,0.1422,0.1422,0.1422,0.1422,0.1422,0.1422,0.1422,0.1422,0.1422,0.1422,0.1422,0.1523,0.19455,0.387,0.5488999999999999,0.8667,0.92475,1.5414,2.03475,2.5997
aarvik,2023-11-18,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,18,0.0581,0.0581,0.0581,0.0581,0.0581,0.0581,0.0581,0.0581,0.0622,0.09720000000000001,0.1781,0.2227,0.2661,0.4589,0.4845,0.69385,0.8756,1.1136,1.1908,1.52785,2.196
aarvik,2023-11-19,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,19,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0274,0.0499,0.0822,0.1693,0.27449999999999997,0.3439,0.3826,0.4242,0.59545,1.1212,1.78625,1.8823,2.73715,11.8101
aarvik,2023-11-20,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,20,0.0103,0.0103,0.0103,0.03635,0.0763,0.12680000000000002,0.1538,0.22490000000000002,0.3707,0.3983,0.4647,0.9861,1.4275,2.4776499999999997,2.6281,2.96615,3.9211,4.55335,6.6101,7.3842,13.3176
aarvik,2023-11-21,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,21,0.008,0.008,0.008,0.01935,0.0628,0.10245000000000001,0.1751,0.21755000000000002,0.3535,0.3903,0.9944,1.0079500000000001,1.021,1.51075,2.201,2.35575,2.8741,3.2047,3.7255,4.3856,15.2856
aarvik,2023-11-22,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,22,0.0065,0.0065,0.0065,0.0186,0.0305,0.0545,0.0765,0.12055,0.1716,0.36060000000000003,0.417,0.52915,0.6777,0.7174,0.9293,1.1163500000000002,1.8488,2.21395,2.3085,3.1395999999999997,5.5084
aarvik,2023-11-23,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,23,0.005,0.0058,0.0092,0.014350000000000002,0.1703,0.261,0.3894,0.47655,0.5664,1.0470000000000002,1.5939,2.5578000000000003,3.5891,3.8007999999999997,4.5798,5.7467500000000005,9.2006,10.70885,11.4237,15.0305,19.3194
aarvik,2023-11-24,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,24,0.0038,0.00685,0.0934,0.1911,0.2738,1.0567,1.1837,1.5166499999999998,1.7951,2.34835,4.1152,4.66245,5.111,5.27955,5.9692,8.8448,8.9002,13.02485,13.9825,16.2261,26.1597
aarvik,2023-11-25,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,25,0.0026,0.08085,0.1633,0.4011,0.494,0.7611,0.9995,1.2809,1.7118,1.82565,2.438,3.2603,4.0676,4.42455,5.1737,5.69505,6.0166,7.946350000000001,18.364,20.6636,24.31
aarvik,2023-11-26,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,26,0.0017,0.03355,0.061,0.1649,0.1975,0.45130000000000003,0.6154,0.70275,0.8866,1.45385,1.9053,2.1718,2.3326,2.7531999999999996,3.8223,4.8648,8.4101,9.29615,9.9493,12.4212,19.5641
aarvik,2023-11-27,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,27,0.0011,0.0158,0.0605,0.07744999999999999,0.1293,0.28105,0.3193,0.62095,0.8386,0.9741500000000001,1.1025,1.30375,2.3204,2.57535,3.2683,3.42855,3.8345,5.23635,6.2124,8.6811,29.6933
aarvik,2023-11-28,8470,6703820,6.1233438698461,60.1730981879045,14.6,11,2023,28,0.0008,0.0076500000000000005,0.0247,0.0316,0.0463,0.11595,0.1497,0.3708,0.4509,0.6910499999999999,0.826,1.0282499999999999,1.2221,1.48455,2.2671,2.8991,3.6803,4.539149999999999,6.1233,9.466050000000001,13.5983
