stationName,catchname,Discharge,Discharge_mmday,quality,date
Engsetvatn,101.1.0,0.8132517166666666,1.7605850243046857,1.0,2023-11-14
Hildreelv,102.1.0,0.35090760833333334,2.1276082357894737,1.0,2023-11-14
Isa v/Morstøl bru,103.20.0,0.09746590625,0.18966338513513514,1.0,2023-11-14
Midtre Mardalsvatn,104.22.0,0.17213294090909087,1.0870759516515933,1.0,2023-11-14
Vistdal,104.23.0,0.8291409083333333,1.077097797023004,1.0,2023-11-14
Driva v/Svoni,109.21.0,4.146416708333334,2.634969135039718,1.0,2023-11-14
Driva v/Risefoss,109.9.0,9.803147916666667,1.1353932090242496,1.0,2023-11-14
Nauståa,111.10.0,0.17418222500000002,0.6070731843485278,1.0,2023-11-14
Søya v/Melhus,111.9.0,0.6248694,0.39284520235756387,1.0,2023-11-13
Rinna,112.8.0,0.24244918333333332,0.23850175839690313,1.0,2023-11-14
Myra,114.1.0,0.049460233333333326,0.25962115188335355,1.0,2023-11-14
Garhammerfoss,12.114.0,7.483221916666667,1.3132459399183476,1.0,2023-11-14
Buvatn,12.150.0,NaN,0,2023-11-14
Hølervatn,12.171.0,0.6413410083333333,0.6978824070528966,1.0,2023-11-14
Eggedal,12.178.0,2.598065666666667,0.7227305244856563,1.0,2023-11-14
Sundbyfoss,12.192.0,2.6039160833333335,3.0089387401364185,1.0,2023-11-14
Fiskum,12.193.0,1.174944,1.9696383701979043,1.0,2023-11-14
Vinde-elv,12.207.0,1.8629203636363636,0.5963995828449007,1.0,2023-11-14
Hangtjern,12.212.0,0.0673503275,0.5280461248638839,1.0,2023-11-14
Storeskar,12.215.0,1.2511412916666667,0.9033058210077712,1.0,2023-11-14
Etna,12.70.0,2.991421458333333,0.45460892828874455,1.0,2023-11-14
Åmot,121.20.0,1.4981737727272728,0.45792696063832866,1.0,2023-11-14
Gisnås,121.29.0,0.3965753260869565,0.36231477396545464,1.0,2023-11-14
Eggafoss,122.11.0,3.3235438333333334,0.4382828950822675,1.0,2023-11-14
Lillebudal bru,122.14.0,2.0528335833333333,1.0550521777407649,1.0,2023-11-14
Hugdal bru,122.17.0,7.159526333333332,1.1330605473128912,1.0,2023-11-14
Kjeldstad i Garbergelva,123.31.0,4.112329458333334,2.4849997566093163,1.0,2023-11-14
Kobberdammen,123.95.0,0.0036822796666666664,0.3119107482352941,1.0,2023-11-14
Feren,124.13.0,1.4594412727272725,0.5734491153014523,1.0,2023-11-14
Bøstad,124.15.0,0.5168342375,0.9222320966542751,1.0,2023-11-14
Høggås bru,124.2.0,4.244583166666666,0.7416218111223457,1.0,2023-11-14
Veravatn,127.11.0,1.0420806666666669,0.5111892897291774,1.0,2023-11-14
Dillfoss,127.13.0,0.9681905041666666,0.1744050945709282,1.0,2023-11-14
Støafoss,128.5.0,2.4227645,0.4387667745451497,1.0,2023-11-14
Store Grønsjø,131.2.0,NaN,0,2023-11-14
Krinsvatn (Kringsvatnet),133.7.0,0.9108549916666666,0.38090059183969793,1.0,2023-11-14
Øyungen,138.1.0,0.9188567416666666,0.33160361923060855,1.0,2023-11-14
Grongstadvatn,139.13.0,3.570182791666666,0.6540654210046435,1.0,2023-11-14
Moen,139.20.0,0.3886018,0.5241210665001562,1.0,2023-11-14
Skjellbreivatn,139.25.0,3.842777125,0.6081212220451674,1.0,2023-11-14
Embrethølen,139.26.0,0.9876251333333332,0.1726505574619618,1.0,2023-11-14
Trangen,139.35.0,5.23302,0.5305167826342035,1.0,2023-11-14
Salsvatn,140.2.0,10.525094166666667,2.1055062190321836,1.0,2023-11-14
Første Aunvatn,142.1.0,0.19170672173913042,0.18975209941872914,1.0,2023-11-14
Mevatnet,148.2.0,0.630156,0.5019404296118744,1.0,2023-11-14
